Timestamp,Prediction Score,Image Filename
2025-08-02_03-01-45,1.00,NoMask0.jpg
2025-08-02_03-01-55,0.89,NoMask1.jpg
2025-08-02_03-01-56,0.63,NoMask2.jpg
2025-08-02_03-01-58,0.55,NoMask3.jpg
2025-08-02_03-01-59,0.86,NoMask4.jpg
2025-08-02_03-02-01,0.76,NoMask5.jpg
2025-08-02_03-02-03,0.76,NoMask6.jpg
2025-08-02_03-02-03,0.57,NoMask7.jpg
2025-08-02_03-02-04,0.73,NoMask8.jpg
2025-08-02_03-02-05,0.58,NoMask9.jpg
2025-08-02_03-02-05,0.56,NoMask10.jpg
2025-08-02_03-02-06,0.72,NoMask11.jpg
2025-08-02_03-02-06,0.75,NoMask12.jpg
2025-08-02_03-02-10,0.65,NoMask13.jpg
2025-08-02_03-02-11,0.69,NoMask14.jpg
2025-08-02_03-02-11,0.84,NoMask15.jpg
2025-08-02_03-02-12,0.84,NoMask16.jpg
2025-08-02_03-02-12,0.67,NoMask17.jpg
2025-08-02_03-02-13,0.96,NoMask18.jpg
2025-08-02_03-02-14,0.87,NoMask19.jpg
2025-08-02_03-02-15,0.70,NoMask20.jpg
2025-08-02_03-02-16,0.96,NoMask21.jpg
2025-08-02_03-02-20,0.77,NoMask22.jpg
2025-08-02_03-02-22,0.53,NoMask23.jpg
2025-08-02_03-02-24,0.91,NoMask24.jpg
2025-08-06_22-44-16,1.00,NoMask0.jpg
2025-08-06_22-44-21,0.51,NoMask1.jpg
2025-08-06_22-44-23,0.87,NoMask2.jpg
2025-08-06_22-44-29,0.85,NoMask3.jpg
2025-08-06_22-44-32,0.98,NoMask4.jpg
2025-08-06_22-44-35,0.82,NoMask5.jpg
2025-08-06_22-44-37,0.56,NoMask6.jpg
2025-08-06_22-44-40,0.59,NoMask7.jpg
2025-08-06_22-44-40,0.80,NoMask8.jpg
2025-08-06_22-44-41,0.73,NoMask9.jpg
2025-08-06_22-44-42,0.71,NoMask10.jpg
2025-08-06_22-44-46,0.73,NoMask11.jpg
2025-08-06_22-44-49,0.98,NoMask12.jpg
2025-08-06_22-44-50,0.53,NoMask13.jpg
2025-08-06_22-44-52,0.96,NoMask14.jpg
2025-08-06_22-44-54,0.58,NoMask15.jpg
2025-08-06_22-44-55,0.78,NoMask16.jpg
2025-08-06_22-56-23,0.97,NoMask0.jpg
2025-08-06_22-56-25,0.98,NoMask1.jpg
2025-08-06_22-56-30,1.00,NoMask2.jpg
2025-08-06_22-56-31,0.74,NoMask3.jpg
2025-08-06_22-56-31,0.76,NoMask4.jpg
2025-08-06_22-56-31,0.68,NoMask5.jpg
2025-08-06_22-56-32,0.56,NoMask6.jpg
2025-08-06_22-56-32,0.63,NoMask7.jpg
2025-08-06_22-56-32,0.56,NoMask8.jpg
2025-08-06_22-56-34,0.62,NoMask9.jpg
2025-08-06_22-56-35,0.67,NoMask10.jpg
2025-08-06_22-56-37,0.90,NoMask11.jpg
2025-08-06_22-56-40,0.76,NoMask12.jpg
2025-08-06_22-56-41,0.51,NoMask13.jpg
2025-08-06_22-56-42,0.71,NoMask14.jpg
2025-08-06_22-56-43,0.90,NoMask15.jpg
2025-08-06_22-56-44,0.60,NoMask16.jpg
2025-08-06_22-56-44,0.64,NoMask17.jpg
2025-08-06_22-56-44,0.79,NoMask18.jpg
2025-08-06_22-56-44,0.90,NoMask19.jpg
2025-08-06_22-56-45,0.83,NoMask20.jpg
2025-08-06_22-57-05,0.87,NoMask0.jpg
2025-08-06_22-57-05,0.73,NoMask1.jpg
2025-08-06_22-57-06,0.77,NoMask2.jpg
2025-08-06_22-57-10,0.98,NoMask3.jpg
2025-08-06_22-57-11,0.96,NoMask4.jpg
2025-08-06_22-57-17,0.74,NoMask5.jpg
2025-08-06_22-58-39,0.98,NoMask0.jpg
2025-08-06_22-58-44,0.99,NoMask1.jpg
2025-08-06_22-58-45,1.00,NoMask2.jpg
2025-08-06_22-58-45,1.00,NoMask3.jpg
2025-08-06_22-58-49,0.99,NoMask4.jpg
2025-08-06_22-58-50,1.00,NoMask5.jpg
2025-08-06_22-58-55,0.77,NoMask6.jpg
2025-08-06_23-06-41,0.50,NoMask0.jpg
2025-08-06_23-07-32,0.63,NoMask0.jpg
2025-08-06_23-07-32,0.70,NoMask1.jpg
2025-08-06_23-07-36,0.89,NoMask2.jpg
2025-08-06_23-07-39,0.69,NoMask3.jpg
2025-08-06_23-07-39,0.93,NoMask4.jpg
2025-08-06_23-07-40,0.89,NoMask5.jpg
2025-08-06_23-07-42,0.58,NoMask6.jpg
2025-08-06_23-07-42,0.53,NoMask7.jpg
2025-08-06_23-07-43,0.91,NoMask8.jpg
2025-08-21_05-04-11,1.00,NoMask0.jpg
2025-08-21_05-04-13,0.80,NoMask1.jpg
2025-08-21_05-04-14,0.77,NoMask2.jpg
2025-08-21_05-04-31,0.76,NoMask3.jpg
2025-08-21_05-04-31,0.62,NoMask4.jpg
2025-08-21_05-04-31,0.61,NoMask5.jpg
